INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-10-10 07:00:00+00:00,2025-10-10 08:00:00+00:00,2025-10-10,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.2941,6
2025-10-10 16:00:00+00:00,2025-10-10 17:00:00+00:00,2025-10-10,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.87718,6
2025-10-10 17:00:00+00:00,2025-10-10 18:00:00+00:00,2025-10-10,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.6244,6
2025-10-10 18:00:00+00:00,2025-10-10 19:00:00+00:00,2025-10-10,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.65542,6
2025-10-10 19:00:00+00:00,2025-10-10 20:00:00+00:00,2025-10-10,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.12107,6
2025-10-10 20:00:00+00:00,2025-10-10 21:00:00+00:00,2025-10-10,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.10358,6
2025-10-10 21:00:00+00:00,2025-10-10 22:00:00+00:00,2025-10-10,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.50378,6
2025-10-10 22:00:00+00:00,2025-10-10 23:00:00+00:00,2025-10-10,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,35.75029,6
2025-10-10 23:00:00+00:00,2025-10-11 00:00:00+00:00,2025-10-10,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.05643,6
2025-10-11 00:00:00+00:00,2025-10-11 01:00:00+00:00,2025-10-10,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.9369,1
2025-10-11 01:00:00+00:00,2025-10-11 02:00:00+00:00,2025-10-10,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,53.71969,1
2025-10-10 08:00:00+00:00,2025-10-10 09:00:00+00:00,2025-10-10,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.32583,6
2025-10-11 02:00:00+00:00,2025-10-11 03:00:00+00:00,2025-10-10,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,53.39004,1
2025-10-11 03:00:00+00:00,2025-10-11 04:00:00+00:00,2025-10-10,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.55561,1
2025-10-11 04:00:00+00:00,2025-10-11 05:00:00+00:00,2025-10-10,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.78716,1
2025-10-11 05:00:00+00:00,2025-10-11 06:00:00+00:00,2025-10-10,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.38565,1
2025-10-11 06:00:00+00:00,2025-10-11 07:00:00+00:00,2025-10-10,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.13029,1
2025-10-10 09:00:00+00:00,2025-10-10 10:00:00+00:00,2025-10-10,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.16058,6
2025-10-10 10:00:00+00:00,2025-10-10 11:00:00+00:00,2025-10-10,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.5261,6
2025-10-10 11:00:00+00:00,2025-10-10 12:00:00+00:00,2025-10-10,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.12169,6
2025-10-10 12:00:00+00:00,2025-10-10 13:00:00+00:00,2025-10-10,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.47834,6
2025-10-10 13:00:00+00:00,2025-10-10 14:00:00+00:00,2025-10-10,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,54.11392,6
2025-10-10 14:00:00+00:00,2025-10-10 15:00:00+00:00,2025-10-10,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,52.29877,6
