INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-04-10 07:00:00+00:00,2025-04-10 08:00:00+00:00,2025-04-10,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.58558,6
2025-04-10 16:00:00+00:00,2025-04-10 17:00:00+00:00,2025-04-10,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-5.95592,6
2025-04-10 17:00:00+00:00,2025-04-10 18:00:00+00:00,2025-04-10,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-5.98615,6
2025-04-10 18:00:00+00:00,2025-04-10 19:00:00+00:00,2025-04-10,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-6.7335,6
2025-04-10 19:00:00+00:00,2025-04-10 20:00:00+00:00,2025-04-10,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-6.96041,6
2025-04-10 20:00:00+00:00,2025-04-10 21:00:00+00:00,2025-04-10,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-7.67232,6
2025-04-10 21:00:00+00:00,2025-04-10 22:00:00+00:00,2025-04-10,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-7.40127,6
2025-04-10 22:00:00+00:00,2025-04-10 23:00:00+00:00,2025-04-10,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-4.26594,6
2025-04-10 23:00:00+00:00,2025-04-11 00:00:00+00:00,2025-04-10,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,2.13313,6
2025-04-11 00:00:00+00:00,2025-04-11 01:00:00+00:00,2025-04-10,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,22.65935,1
2025-04-11 01:00:00+00:00,2025-04-11 02:00:00+00:00,2025-04-10,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.59506,1
2025-04-10 08:00:00+00:00,2025-04-10 09:00:00+00:00,2025-04-10,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.09454,6
2025-04-11 02:00:00+00:00,2025-04-11 03:00:00+00:00,2025-04-10,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.36342,1
2025-04-11 03:00:00+00:00,2025-04-11 04:00:00+00:00,2025-04-10,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.8349,1
2025-04-11 04:00:00+00:00,2025-04-11 05:00:00+00:00,2025-04-10,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,42.50052,1
2025-04-11 05:00:00+00:00,2025-04-11 06:00:00+00:00,2025-04-10,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.97505,1
2025-04-11 06:00:00+00:00,2025-04-11 07:00:00+00:00,2025-04-10,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.77458,1
2025-04-10 09:00:00+00:00,2025-04-10 10:00:00+00:00,2025-04-10,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.11954,6
2025-04-10 10:00:00+00:00,2025-04-10 11:00:00+00:00,2025-04-10,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.84595,6
2025-04-10 11:00:00+00:00,2025-04-10 12:00:00+00:00,2025-04-10,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.45646,6
2025-04-10 12:00:00+00:00,2025-04-10 13:00:00+00:00,2025-04-10,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.48765,6
2025-04-10 13:00:00+00:00,2025-04-10 14:00:00+00:00,2025-04-10,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.13702,6
2025-04-10 14:00:00+00:00,2025-04-10 15:00:00+00:00,2025-04-10,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,33.06252,6
2025-04-10 15:00:00+00:00,2025-04-10 16:00:00+00:00,2025-04-10,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,-1.60682,6
