INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-01-01 00:00:00+00:00,2025-01-01 01:00:00+00:00,2024-12-31,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.50206,1
2025-01-01 01:00:00+00:00,2025-01-01 02:00:00+00:00,2024-12-31,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,52.66897,1
2025-01-01 02:00:00+00:00,2025-01-01 03:00:00+00:00,2024-12-31,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.19425,1
2025-01-01 03:00:00+00:00,2025-01-01 04:00:00+00:00,2024-12-31,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.23666,1
2025-01-01 04:00:00+00:00,2025-01-01 05:00:00+00:00,2024-12-31,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,51.32875,1
2025-01-01 05:00:00+00:00,2025-01-01 06:00:00+00:00,2024-12-31,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.91579,1
2025-01-01 06:00:00+00:00,2025-01-01 07:00:00+00:00,2024-12-31,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.57005,1
2025-01-01 07:00:00+00:00,2025-01-01 08:00:00+00:00,2024-12-31,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.40439,1
2025-01-01 08:00:00+00:00,2025-01-01 09:00:00+00:00,2025-01-01,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.93494,6
2025-01-01 09:00:00+00:00,2025-01-01 10:00:00+00:00,2025-01-01,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.94856,6
2025-01-01 10:00:00+00:00,2025-01-01 11:00:00+00:00,2025-01-01,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.72204,6
2025-01-01 11:00:00+00:00,2025-01-01 12:00:00+00:00,2025-01-01,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.20036,6
2025-01-01 12:00:00+00:00,2025-01-01 13:00:00+00:00,2025-01-01,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.90501,6
2025-01-01 13:00:00+00:00,2025-01-01 14:00:00+00:00,2025-01-01,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.90493,6
2025-01-01 14:00:00+00:00,2025-01-01 15:00:00+00:00,2025-01-01,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,42.1992,6
2025-01-01 15:00:00+00:00,2025-01-01 16:00:00+00:00,2025-01-01,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,38.87669,6
2025-01-01 16:00:00+00:00,2025-01-01 17:00:00+00:00,2025-01-01,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,25.30326,6
2025-01-01 17:00:00+00:00,2025-01-01 18:00:00+00:00,2025-01-01,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,20.53538,6
2025-01-01 18:00:00+00:00,2025-01-01 19:00:00+00:00,2025-01-01,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,20.03174,6
2025-01-01 19:00:00+00:00,2025-01-01 20:00:00+00:00,2025-01-01,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,20.84689,6
2025-01-01 20:00:00+00:00,2025-01-01 21:00:00+00:00,2025-01-01,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,18.74042,6
2025-01-01 21:00:00+00:00,2025-01-01 22:00:00+00:00,2025-01-01,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,18.69914,6
2025-01-01 22:00:00+00:00,2025-01-01 23:00:00+00:00,2025-01-01,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,20.19077,6
2025-01-01 23:00:00+00:00,2025-01-02 00:00:00+00:00,2025-01-01,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.48879,6
2025-01-02 00:00:00+00:00,2025-01-02 01:00:00+00:00,2025-01-01,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.65056,1
2025-01-02 01:00:00+00:00,2025-01-02 02:00:00+00:00,2025-01-01,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.26687,1
2025-01-02 02:00:00+00:00,2025-01-02 03:00:00+00:00,2025-01-01,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.1085,1
