OPR_DT,OPR_HR,$/MW
2025-10-10,1,49.2941
2025-10-10,10,30.87718
2025-10-10,11,34.6244
2025-10-10,12,33.65542
2025-10-10,13,33.12107
2025-10-10,14,33.10358
2025-10-10,15,34.50378
2025-10-10,16,35.75029
2025-10-10,17,43.05643
2025-10-10,18,51.9369
2025-10-10,19,53.71969
2025-10-10,2,49.32583
2025-10-10,20,53.39004
2025-10-10,21,51.55561
2025-10-10,22,50.78716
2025-10-10,23,51.38565
2025-10-10,24,49.13029
2025-10-10,3,47.16058
2025-10-10,4,45.5261
2025-10-10,5,45.12169
2025-10-10,6,46.47834
2025-10-10,7,54.11392
2025-10-10,8,52.29877
2025-10-10,9,39.92995
