OPR_DT,OPR_HR,$/MW
2025-07-10,1,41.9549
2025-07-10,10,25.99782
2025-07-10,11,29.71807
2025-07-10,12,30.03076
2025-07-10,13,29.08538
2025-07-10,14,29.46032
2025-07-10,15,32.66149
2025-07-10,16,36.96077
2025-07-10,17,40.61177
2025-07-10,18,49.21868
2025-07-10,19,53.71628
2025-07-10,2,41.36804
2025-07-10,20,75.19591
2025-07-10,21,67.93754
2025-07-10,22,58.18868
2025-07-10,23,47.58371
2025-07-10,24,46.15824
2025-07-10,3,42.96804
2025-07-10,4,40.91897
2025-07-10,5,40.08064
2025-07-10,6,41.94995
2025-07-10,7,39.92837
2025-07-10,8,31.31394
2025-07-10,9,25.69168
