OPR_DT,OPR_HR,$/MW
2025-04-10,1,40.58558
2025-04-10,10,-5.95592
2025-04-10,11,-5.98615
2025-04-10,12,-6.7335
2025-04-10,13,-6.96041
2025-04-10,14,-7.67232
2025-04-10,15,-7.40127
2025-04-10,16,-4.26594
2025-04-10,17,2.13313
2025-04-10,18,22.65935
2025-04-10,19,43.59506
2025-04-10,2,40.09454
2025-04-10,20,47.36342
2025-04-10,21,44.8349
2025-04-10,22,42.50052
2025-04-10,23,41.97505
2025-04-10,24,38.77458
2025-04-10,3,36.11954
2025-04-10,4,34.84595
2025-04-10,5,36.45646
2025-04-10,6,41.48765
2025-04-10,7,49.13702
2025-04-10,8,33.06252
2025-04-10,9,-1.60682
