INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-07-10 07:00:00+00:00,2025-07-10 08:00:00+00:00,2025-07-10,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.9549,6
2025-07-10 16:00:00+00:00,2025-07-10 17:00:00+00:00,2025-07-10,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,25.99782,6
2025-07-10 17:00:00+00:00,2025-07-10 18:00:00+00:00,2025-07-10,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.71807,6
2025-07-10 18:00:00+00:00,2025-07-10 19:00:00+00:00,2025-07-10,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,30.03076,6
2025-07-10 19:00:00+00:00,2025-07-10 20:00:00+00:00,2025-07-10,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.08538,6
2025-07-10 20:00:00+00:00,2025-07-10 21:00:00+00:00,2025-07-10,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,29.46032,6
2025-07-10 21:00:00+00:00,2025-07-10 22:00:00+00:00,2025-07-10,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,32.66149,6
2025-07-10 22:00:00+00:00,2025-07-10 23:00:00+00:00,2025-07-10,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,36.96077,6
2025-07-10 23:00:00+00:00,2025-07-11 00:00:00+00:00,2025-07-10,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.61177,6
2025-07-11 00:00:00+00:00,2025-07-11 01:00:00+00:00,2025-07-10,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.21868,1
2025-07-11 01:00:00+00:00,2025-07-11 02:00:00+00:00,2025-07-10,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,53.71628,1
2025-07-10 08:00:00+00:00,2025-07-10 09:00:00+00:00,2025-07-10,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.36804,6
2025-07-11 02:00:00+00:00,2025-07-11 03:00:00+00:00,2025-07-10,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,75.19591,1
2025-07-11 03:00:00+00:00,2025-07-11 04:00:00+00:00,2025-07-10,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,67.93754,1
2025-07-11 04:00:00+00:00,2025-07-11 05:00:00+00:00,2025-07-10,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,58.18868,1
2025-07-11 05:00:00+00:00,2025-07-11 06:00:00+00:00,2025-07-10,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.58371,1
2025-07-11 06:00:00+00:00,2025-07-11 07:00:00+00:00,2025-07-10,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.15824,1
2025-07-10 09:00:00+00:00,2025-07-10 10:00:00+00:00,2025-07-10,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,42.96804,6
2025-07-10 10:00:00+00:00,2025-07-10 11:00:00+00:00,2025-07-10,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.91897,6
2025-07-10 11:00:00+00:00,2025-07-10 12:00:00+00:00,2025-07-10,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,40.08064,6
2025-07-10 12:00:00+00:00,2025-07-10 13:00:00+00:00,2025-07-10,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,41.94995,6
