INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,OPR_DT,OPR_HR,OPR_INTERVAL,NODE_ID_XML,NODE_ID,NODE,MARKET_RUN_ID,LMP_TYPE,XML_DATA_ITEM,PNODE_RESMRID,GRP_TYPE,POS,MW,GROUP
2025-01-10 08:00:00+00:00,2025-01-10 09:00:00+00:00,2025-01-10,1,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.02247,6
2025-01-10 17:00:00+00:00,2025-01-10 18:00:00+00:00,2025-01-10,10,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,20.14818,6
2025-01-10 18:00:00+00:00,2025-01-10 19:00:00+00:00,2025-01-10,11,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,18.71779,6
2025-01-10 19:00:00+00:00,2025-01-10 20:00:00+00:00,2025-01-10,12,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,17.51152,6
2025-01-10 20:00:00+00:00,2025-01-10 21:00:00+00:00,2025-01-10,13,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,16.36023,6
2025-01-10 21:00:00+00:00,2025-01-10 22:00:00+00:00,2025-01-10,14,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,13.80814,6
2025-01-10 22:00:00+00:00,2025-01-10 23:00:00+00:00,2025-01-10,15,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,15.27612,6
2025-01-10 23:00:00+00:00,2025-01-11 00:00:00+00:00,2025-01-10,16,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,25.82143,6
2025-01-11 00:00:00+00:00,2025-01-11 01:00:00+00:00,2025-01-10,17,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.41052,1
2025-01-11 01:00:00+00:00,2025-01-11 02:00:00+00:00,2025-01-10,18,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,49.76798,1
2025-01-11 02:00:00+00:00,2025-01-11 03:00:00+00:00,2025-01-10,19,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,48.32014,1
2025-01-10 09:00:00+00:00,2025-01-10 10:00:00+00:00,2025-01-10,2,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.58637,6
2025-01-11 03:00:00+00:00,2025-01-11 04:00:00+00:00,2025-01-10,20,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,47.07377,1
2025-01-11 04:00:00+00:00,2025-01-11 05:00:00+00:00,2025-01-10,21,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.58034,1
2025-01-11 05:00:00+00:00,2025-01-11 06:00:00+00:00,2025-01-10,22,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,46.54286,1
2025-01-11 06:00:00+00:00,2025-01-11 07:00:00+00:00,2025-01-10,23,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,45.85853,1
2025-01-11 07:00:00+00:00,2025-01-11 08:00:00+00:00,2025-01-10,24,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,44.74139,1
2025-01-10 10:00:00+00:00,2025-01-10 11:00:00+00:00,2025-01-10,3,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.61065,6
2025-01-10 11:00:00+00:00,2025-01-10 12:00:00+00:00,2025-01-10,4,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.78152,6
2025-01-10 12:00:00+00:00,2025-01-10 13:00:00+00:00,2025-01-10,5,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,43.85652,6
2025-01-10 13:00:00+00:00,2025-01-10 14:00:00+00:00,2025-01-10,6,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,50.77697,6
2025-01-10 14:00:00+00:00,2025-01-10 15:00:00+00:00,2025-01-10,7,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,56.36985,6
2025-01-10 15:00:00+00:00,2025-01-10 16:00:00+00:00,2025-01-10,8,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,52.0795,6
2025-01-10 16:00:00+00:00,2025-01-10 17:00:00+00:00,2025-01-10,9,0,0096WD_7_N001,0096WD_7_N001,0096WD_7_N001,DAM,LMP,LMP_PRC,0096WD_7_N001,ALL,1,34.26323,6
